id,slug,website_before,website_after,changed
"9b4db4b7-3d64-40c6-a8b5-ec800967d2fd","butcher-and-the-farmer-tramsheds","https://butcherandthefarmer.com/au/sydney/tramsheds/?utm_source=google&utm_medium=organic&utm_campaign=yext&utm_content=booking-tramsheds","https://butcherandthefarmer.com/au/sydney/tramsheds/",yes
"3ab9fd18-68e0-4921-bbe9-d31a59de854a","cairns-custom-wardrobes","https://www.cairnscustomwardrobes.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://www.cairnscustomwardrobes.com/",yes
"dbddd13c-5379-46d2-b32c-0f3978ab79dc","cairns-printshop","https://www.cairnsprintshop.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11931761797781408051","https://www.cairnsprintshop.com/",yes
"bb3742cb-5113-4151-aaa4-601f1c85c827","camel-rock-brewhouse","http://www.camelrockbrewhouse.com.au/?utm_source=googlemybusiness&utm_medium=referral&utm_campaign=park-listing","http://www.camelrockbrewhouse.com.au/",yes
"d1fec35b-b917-4a63-8eb7-08542e57f844","camera-house-darwin","https://darwin.camerahouse.com.au/store/darwin?utm_source=gmb&utm_medium=organic&utm_campaign=darwin","https://darwin.camerahouse.com.au/store/darwin",yes
"a185b9a9-261e-464f-b50e-557ae1d222ad","capital-sewing-studio","https://www.dreamsewingcentre.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://www.dreamsewingcentre.com/",yes
"1359dc96-cbb9-49a3-aed9-f44ac72d3903","cedar-creek-estate","https://cedarcreekestate.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing","https://cedarcreekestate.com.au/",yes
"c1d73b83-9258-480b-a360-3a3f23acf5fb","cedar-creek-estate-vineyard-and-winery","https://cedarcreekestate.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing","https://cedarcreekestate.com.au/",yes
"699fd310-9691-4d55-9bd8-0aa4b85e0296","chief-of-staff","https://www.hereslookingatyoukid.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://www.hereslookingatyoukid.com.au/",yes
"d54291fd-990a-4568-ae2e-b42423400bb1","choices-flooring-ballarat","https://www.choicesflooring.com.au/stores/victoria/ballarat?utm_source=GMB&utm_medium=Organic&utm_id=Stores","https://www.choicesflooring.com.au/stores/victoria/ballarat",yes
"58f47f70-036d-45ba-95c9-1df724a5fe52","chris-williams-retail-and-manufacturing-jewellers","https://chriswilliamsjewellers.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://chriswilliamsjewellers.com/",yes
"e734d083-7c3c-49d9-bf89-e4a5c9072b85","colourworks-australia","https://www.colourworks.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb_port-macquarie","https://www.colourworks.com.au/",yes
"f76e8227-971e-445b-a331-7560fbba1294","create-print-and-design","http://www.create-design.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb","http://www.create-design.com.au/",yes
"f30310b5-30ab-433c-8762-e3b76dc783a3","creative-native","https://creativenative.com.au/?utm_source=google_business_profile&utm_medium=organic","https://creativenative.com.au/",yes
"a28c40f3-82fb-40ba-9f04-9402089c666e","creswick-natural-fibres-daylesford-store","https://www.creswickwool.com/?utm_source=Google&utm_medium=GMB&utm_campaign=Daylesford","https://www.creswickwool.com/",yes
"e669ff17-94ff-475c-bd9c-02f7e80d4973","crittenden-estate","https://www.crittendenwines.com.au/?utm_source=gbp&utm_medium=organic&utm_campaign=website-button","https://www.crittendenwines.com.au/",yes
"0532ea14-8f75-4ffe-874b-4cc6a22bf732","curated-x-daylesford","https://www.curatedxdaylesford.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=17991644726627584993","https://www.curatedxdaylesford.com/",yes
"6e00ce56-3f73-4882-b16e-a93d741722f4","custom-cabinets-design","https://www.ccddesign.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://www.ccddesign.com.au/",yes
"5fe43e5d-2d72-4766-b166-436d4afe0afe","darling-downs-glass-and-security","https://ddgs.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://ddgs.com.au/",yes
"7823994c-0093-4f32-b265-3117fd2f00d9","dds-diamond-design-studios-wedding-engagement-rings-adelaide","https://ddsdiamonds.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=website_button","https://ddsdiamonds.com.au/",yes
"11cfef80-8a30-4884-bd8a-3eed6ca89d11","devils-corner","https://www.devilscorner.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb","https://www.devilscorner.com.au/",yes
"806c0dea-fd06-4ac4-9366-7a0db605a01c","devils-corner-cellar-door","https://www.devilscorner.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb","https://www.devilscorner.com.au/",yes
"1309ac48-3e1d-444c-b551-3cbb72739f9f","diamondport-jewellers","https://diamondport.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://diamondport.com.au/",yes
"d5af18f1-bb76-464c-adb1-edcfc091ecd4","dusky-studio","https://instagram.com/dusky.studiio?utm_source=qr","https://instagram.com/dusky.studiio",yes
"84417892-9d19-43d9-b76d-6821dbff045d","eagle-bay-brewing","https://eaglebaybrewing.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp","https://eaglebaybrewing.com.au/",yes
